company_name,symbol,scripcode
Kirloskar Brothers Ltd.,KIRLOSBROS,500241.0
Kirloskar Industries Ltd.,KIRLOSIND,500243.0
Kirloskar Ferrous Industries Ltd.,KIRLFER,500245.0
Envair Electrodyne Ltd.,KIRLOSELEC,500246.0
Kotak Mahindra Bank Ltd.,KOTAKBANK,500247.0
Krishna Filament Industries Ltd.,KRISNAFILA,500248.0
KSB Ltd.,KSB,500249.0
LG Balakrishnan & Bros Ltd.,LGBBROSLTD,500250.0
Trent Ltd.,TRENT,500251.0
Lakshmi Machine Works Ltd.,LAXMIMACH,500252.0
LIC Housing Finance Ltd.,LICHSGFIN,500253.0
Lupin Ltd.,LUPIN,500257.0
Lyka Labs Ltd.,LYKALABS,500259.0
The Ramco Cements Ltd.,RAMCOCEM,500260.0
Hybrid Financial Services Ltd.,HYBRIDFIN,500262.0
Mafatlal Industries Ltd.,MAFATLAIND,500264.0
Maharashtra Seamless Ltd.,MAHSEAMLES,500265.0
Maharashtra Scooters Ltd.,MAHSCOOTER,500266.0
Majestic Auto Ltd.,MAJESAUTO,500267.0
Manali Petrochemicals Ltd.,MANALIPETC,500268.0
Baroda Rayon Corporation Ltd.,BARODARAYN,500270.0
Max Financial Services Ltd.,MFSL,500271.0
Mid India Industries Ltd.,MIDINDIA,500277.0
Mirc Electronics Ltd.,MIRCELECTR,500279.0
Century Enka Ltd.,CENTENKA,500280.0
Modern Threads (India) Ltd.,MODTHREAD,500282.0
Lords Chloro Alkali Ltd.,LORDSCHLO,500284.0
SpiceJet Ltd.,SPICEJET,500285.0
Morepen Laboratories Ltd.,MOREPENLAB,500288.0
MRF Ltd.,MRF,500290.0
Heidelberg Cement India Ltd.,HEIDELBERG,500292.0
NCC Ltd.,NCC,500294.0
Vedanta Ltd.,VEDL,500295.0
Nahar Spinning Mills Ltd.,NAHARSPING,500296.0
Naperol Investments Ltd.,NATPEROXID,500298.0
Grasim Industries Ltd.,GRASIM,500300.0
Piramal Enterprises Ltd.,PEL,500302.0
NIIT Ltd.,NIITLTD,500304.0
Jaykay Enterprises Ltd.,JKSYNTHETC,500306.0
Nirlon Ltd.,NIRLON,500307.0
Oil & Natural Gas Corporation Ltd.,ONGC,500312.0
Oil Country Tubular Ltd.,OILCOUNTUB,500313.0
Oriental Hotels Ltd.,ORIENTHOT,500314.0
Oswal Agro Mills Ltd.,OSWALAGRO,500317.0
Indian Sucrose Ltd.,OSWALSUG,500319.0
Panyam Cements & Mineral Industries Ltd.,PANYAMCEM,500322.0
Reliance Industries Ltd.,RELIANCE,500325.0
PIL ITALICA Lifestyle Ltd.,PILITA,500327.0
Raymond Ltd.,RAYMOND,500330.0
Pidilite Industries Ltd.,PIDILITIND,500331.0
Pix Transmissions Ltd.,PIXTRANS,500333.0
Birla Corporation Ltd.,BIRLACORPN,500335.0
Surya Roshni Ltd.,SURYAROSNI,500336.0
Prime Securities Ltd.,PRIMESECU,500337.0
Prism Johnson Ltd.,PRSMJOHNSN,500338.0
Rain Industries Ltd.,RAIN,500339.0
Prudential Sugar Corporation Ltd.,PRUDMOULI,500342.0
AMJ Land Holdings Ltd.,AMJLAND,500343.0
Punjab Communications Ltd.,PUNJCOMMU,500346.0
RSWM Ltd.,RSWM,500350.0
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,500354.0
Rallis India Ltd.,RALLIS,500355.0
